1,05-02-2010,42.31,2.572,8.106
1,12-02-2010,38.51,2.548,8.106
1,19-02-2010,39.93,2.514,8.106
1,26-02-2010,46.63,2.561,8.106
1,05-03-2010,46.5,2.625,8.106
1,12-03-2010,57.79,2.667,8.106
1,19-03-2010,54.58,2.72,8.106
1,26-03-2010,51.45,2.732,8.106
1,02-04-2010,62.27,2.719,7.808
1,09-04-2010,65.86,2.77,7.808
1,16-04-2010,66.32,2.808,7.808
1,23-04-2010,64.84,2.795,7.808
1,30-04-2010,67.41,2.78,7.808
1,07-05-2010,72.55,2.835,7.808
1,14-05-2010,74.78,2.854,7.808
1,21-05-2010,76.44,2.826,7.808
1,28-05-2010,80.44,2.759,7.808
1,04-06-2010,80.69,2.705,7.808
1,11-06-2010,80.43,2.668,7.808
1,18-06-2010,84.11,2.637,7.808
1,25-06-2010,84.34,2.653,7.808
1,02-07-2010,80.91,2.669,7.787
1,09-07-2010,80.48,2.642,7.787
1,16-07-2010,83.15,2.623,7.787
1,23-07-2010,83.36,2.608,7.787
1,30-07-2010,81.84,2.64,7.787
1,06-08-2010,87.16,2.627,7.787
1,13-08-2010,87,2.692,7.787
1,20-08-2010,86.65,2.664,7.787
1,27-08-2010,85.22,2.619,7.787
1,03-09-2010,81.21,2.577,7.787
1,10-09-2010,78.69,2.565,7.787
1,17-09-2010,82.11,2.582,7.787
1,24-09-2010,80.94,2.624,7.787
1,01-10-2010,71.89,2.603,7.838
1,08-10-2010,63.93,2.633,7.838
1,15-10-2010,67.18,2.72,7.838
1,22-10-2010,69.86,2.725,7.838
1,29-10-2010,69.64,2.716,7.838
1,05-11-2010,58.74,2.689,7.838
1,12-11-2010,59.61,2.728,7.838
1,19-11-2010,51.41,2.771,7.838
1,26-11-2010,64.52,2.735,7.838
1,03-12-2010,49.27,2.708,7.838
1,10-12-2010,46.33,2.843,7.838
1,17-12-2010,49.84,2.869,7.838
1,24-12-2010,52.33,2.886,7.838
1,31-12-2010,48.43,2.943,7.838
1,07-01-2011,48.27,2.976,7.742
1,14-01-2011,35.4,2.983,7.742
1,21-01-2011,44.04,3.016,7.742
1,28-01-2011,43.83,3.01,7.742
1,04-02-2011,42.27,2.989,7.742
1,11-02-2011,36.39,3.022,7.742
1,18-02-2011,57.36,3.045,7.742
1,25-02-2011,62.9,3.065,7.742
1,04-03-2011,59.58,3.288,7.742
1,11-03-2011,53.56,3.459,7.742
1,18-03-2011,62.76,3.488,7.742
1,25-03-2011,69.97,3.473,7.742
1,01-04-2011,59.17,3.524,7.682
1,08-04-2011,67.84,3.622,7.682
1,15-04-2011,71.27,3.743,7.682
1,22-04-2011,72.99,3.807,7.682
1,29-04-2011,72.03,3.81,7.682
1,06-05-2011,64.61,3.906,7.682
1,13-05-2011,75.64,3.899,7.682
1,20-05-2011,67.63,3.907,7.682
1,27-05-2011,77.72,3.786,7.682
1,03-06-2011,83,3.699,7.682
1,10-06-2011,83.13,3.648,7.682
1,17-06-2011,86.41,3.637,7.682
1,24-06-2011,83.58,3.594,7.682
1,01-07-2011,85.55,3.524,7.962
1,08-07-2011,85.83,3.48,7.962
1,15-07-2011,88.54,3.575,7.962
1,22-07-2011,85.77,3.651,7.962
1,29-07-2011,86.83,3.682,7.962
1,05-08-2011,91.65,3.684,7.962
1,12-08-2011,90.76,3.638,7.962
1,19-08-2011,89.94,3.554,7.962
1,26-08-2011,87.96,3.523,7.962
1,02-09-2011,87.83,3.533,7.962
1,09-09-2011,76,3.546,7.962
1,16-09-2011,79.94,3.526,7.962
1,23-09-2011,75.8,3.467,7.962
1,30-09-2011,79.69,3.355,7.962
1,07-10-2011,69.31,3.285,7.866
1,14-10-2011,71.74,3.274,7.866
1,21-10-2011,63.71,3.353,7.866
1,28-10-2011,66.57,3.372,7.866
1,04-11-2011,54.98,3.332,7.866
1,11-11-2011,59.11,3.297,7.866
1,18-11-2011,62.25,3.308,7.866
1,25-11-2011,60.14,3.236,7.866
1,02-12-2011,48.91,3.172,7.866
1,09-12-2011,43.93,3.158,7.866
1,16-12-2011,51.63,3.159,7.866
